Card   1: 26 36 90  2 75 32  3 21 59 18 | 470 970 830 820 430  70 610 730 570  20 670 310 690
Card   2: 45 10 54 17 15 38 59 96 25 32 | 17 12 77 87 29 70 38 96 15 54 86 64 32 10 28 59 24 45 65 81 42 25 98 14 60
Card   3: 37 31 21 71 80 76 91 77 64 69 | 90 71 91 13  2 40 83 22 45 31 69 53 77 27 97 35  4 55 14  9 52 21 16 19 63
Card   4: 16 82 44 42 51 11 86 14 92 47 | 44 61 81 88 15 11 76 42 17 98 48 83 14 92 99 16 82 86 56 47 10 66 13 22 51
Card   5: 83 84 64 81 97 88 96 59 92 25 | 52 65 98 86 75 48 96 60 56 33 76 81 29 44 97 82 59 64 88 25 23 92 37 84 83
Card   6: 50 51 91 86 25 44 75 23  5 56 | 86 17 56 16 91 75 27 94 39 80 25 71 23 26 12 31 43 45  5 18 50 44 96 51 57
Card   7: 34 14 63 33 87 92 69 67 24 13 | 86 47 31 45  3 32 81 96 21 93 80 25 90 63 79  6 49 91  7 95 62 66 19 24 76
Card   8: 19 67 63 77 62 92 51 49 52  1 | 35  1 94 87 11 82 12 84 49 28 39 96 92 23 34  4 56  5 63 13 77 47 14  9 78
Card   9: 54 14 61 36 10 35 92 34 47 95 | 87 92 95 54  3 47 15 36 90 11  9 84 10 75 45 72 61 88 14 64 35 34 98 46 76
Card  10: 27 59 55 95  4 99  8 48 97  6 | 51 50 48 91 34  4 97 86 27 99 20 95 17  6 80 43 21 60 28 10 89 59 73 55  8
